Governate,Area
Ahmadi,OQAILAH
Ahmadi,FINTAS
Ahmadi,SABAH AL-AHMED
Ahmadi,FAHAHEEL
Ahmadi,WARA
Ahmadi,AHMADI
Ahmadi,ZOAR
Ahmadi,SOUTH SABAHIYAH
Ahmadi,KHAIRAN
Ahmadi,MAHBOULA
Ahmadi,SABAH AL- AHMED SEE
Ahmadi,DHAHAR
Ahmadi,ABU- HALAIFA
Ahmadi,JABER  Al-ALI
Ahmadi,WAFRA
Ahmadi,RIQQA
Ahmadi,HADIYAH
Ahmadi,ALI  SABAH AL-SALEM
Ahmadi,FAHAHEEL INDUTRIAL
Ahmadi,MANGAF
Ahmadi,FAHAD AL-AHMAED
Ahmadi,MAQWAA
Ahmadi,SABAHIYAH
Capital,AL-NAHDHA
Capital,AL-SHAMIAH
Capital,AL-MURGAB
Capital,AL-YARMOUK
Capital,KAIFAN
Capital,AL-QADISIYAH
Capital,QURTUBA
Capital,AL-SHARQ
Capital,AL-EDAILIYAH
Capital,ISLANDs
Capital,Al-NUZHA
Capital,QURNATA
Capital,AL-DOHA
Capital,AL-SHUWAIKH B
Capital,AL-RAWDHAH
Capital,ABDULLA Al-SALEM
Capital,AL-DA'EYA
Capital,BNAID AL-GAR
Capital,UM SEDDAH
Capital,AL-FAIHA'A
Capital,AL-SAFAT
Capital,Al-QAIRAWAN
Capital,Al-SULAIBEKHAT
Capital,Al-DASMA
Capital,FAILAKA
Capital,AL-WATTEYAH
Capital,QUBLAH
Capital,Al-SURRA
Capital,AL-KHALDIYAH
Capital,AL-MANSOURIYAH
Capital,AL-SHUWAIKH INDUSTRYPO
Capital,AL-SOUK Al-DAKHILI
Capital,DASMAN
Farwaniyah,ABRAQ KHAITAN
Farwaniyah,AL-FARWANIYAH
Farwaniyah,AL-FIRDOUS
Farwaniyah,AL-RAI
Farwaniyah,AL-ARDHIYAH
Farwaniyah,ESHBILYA
Farwaniyah,AL-SHEDADIAH
Farwaniyah,JELEEB AL-SHOYOUKH
Farwaniyah,AL-REHAB
Farwaniyah,SABAH AL-NASER
Farwaniyah,KABD
Farwaniyah,AL-OMARIYAH
Farwaniyah,AL-RIQQAE
Farwaniyah,AL-ANDALOUS
Farwaniyah,SOUTH KHAITAN
Farwaniyah,ABDULLA  AL- MUBARAK
Farwaniyah,AL-RABIYAH
Farwaniyah,SOUTH ABDULLA AL-MUBARAK
Hawally,HUTEEN
Hawally,HAWALLY
Hawally,JABRIYAH
Hawally,RUMAITHIYAH
Hawally,ZAHRAA
Hawally,RAS
Hawally,SHA`AB
Hawally,MUSHRIF
Hawally,MUBARAK AL-ABDULLA
Hawally,SALMIYAH
Hawally,AL-SALAM
Hawally,SUDEEQ
Hawally,MADAEN
Hawally,BIDDA
Hawally,AL-SHUHADA
Hawally,BAYAN
Hawally,AL-SHA`AB AL-BAHREE
Hawally,SALWA
Mubarak Al-Kabeer,MUBARAK AL-KABEER
Mubarak Al-Kabeer,SABAH AL-SALEM A
Mubarak Al-Kabeer,AL-QUSOOR
Mubarak Al-Kabeer,ABU - FATIRA
Mubarak Al-Kabeer,FINAITEES
Mubarak Al-Kabeer,AL-QURAIN
Mubarak Al-Kabeer,AL-ADDAN
Mubarak Al-Kabeer,ABU-HASANIYA
Mubarak Al-Kabeer,MESAYEL
Mubarak Al-Kabeer,SABAH AL-SALEM C
Mubarak Al-Kabeer,SABAH AL-SALEM B
Mubarak Al-Kabeer,SABHAN
